SECTOR_ID,NCELL_ID,RATIO_ALL,RANK,COSITE
253895-0,253895-2,6.52173913,0,1
253895-0,253916-0,0.696767001,2,0
253895-0,253916-1,0.348383501,3,0
253895-0,253904-1,0.04180602,4,0
253895-0,253906-0,0.01393534,5,0
253895-0,253927-1,0.01393534,6,0
253895-1,253916-1,18.73385013,1,0
253895-1,253917-2,5.766353869,2,0
253895-1,253928-0,5.43995648,3,0
253895-1,253895-2,4.712362301,0,1
253895-1,253921-1,4.515163879,4,0
253895-1,253895-0,4.059567523,0,1
253895-1,259772-2,2.264381885,5,0
253895-1,253916-0,2.175982592,6,0
253895-1,253941-1,1.244390045,7,0
253895-1,253907-2,0.475996192,8,0
253895-1,253933-1,0.16999864,9,0
253895-1,253940-1,0.095199238,10,0
253895-1,253924-2,0.020399837,11,0
253895-1,253904-1,0.013599891,12,0
253895-1,253927-1,0,13,0
253895-1,253928-2,0,14,0
253895-1,253910-2,0,15,0
253898-0,253934-2,12.76412247,1,0
253898-0,253932-2,11.88012074,2,0
253898-0,7201-128,11.75075464,3,0
253898-0,253904-0,2.846054334,4,0
253898-0,253904-1,1.423027167,5,0
253898-0,253898-2,0.021561018,0,1
253898-0,15513-128,0,6,0
253898-0,253930-129,0,7,0
253898-2,253934-2,40.1459854,1,0
253898-2,253904-0,28.20646507,2,0
253898-2,253932-2,26.69447341,3,0
253898-2,253898-0,6.360792492,0,1
253898-2,253930-129,5.578727842,4,0
253898-2,253904-1,5.526590198,5,0
253898-2,7201-128,0.886339937,6,0
253898-2,253901-0,0.46923879,7,0
253898-2,253936-2,0,8,0
253898-2,259655-1,0,9,0
253899-0,253890-1,21.66611968,1,0
253899-0,253899-2,17.4762061,0,1
253899-0,253907-0,13.00185975,2,0
253899-0,253891-2,7.85472049,3,0
253899-0,253909-2,5.316704956,4,0
253899-0,15113-129,3.227218029,5,0
253899-0,253899-1,3.205338584,0,1
253899-0,253914-1,1.564380265,6,0
253899-0,259775-1,0.913466798,7,0
253899-0,253924-0,0.382890275,8,0
253899-0,253909-1,0.218794443,9,0
253899-0,253904-1,0.202384859,10,0
253899-0,259772-0,0.202384859,11,0
253899-0,253891-0,0.060168472,12,0
253899-0,259761-0,0.016409583,13,0
253899-1,253891-2,94.19642857,1,0
253899-1,253899-0,41.74107143,0,1
253899-2,253899-0,11.85702768,0,1
253899-2,253907-0,8.868583714,1,0
253899-2,259772-1,6.299381887,2,0
253899-2,253935-1,5.052405267,3,0
253899-2,253923-2,1.021230852,4,0
253899-2,253891-2,0.679924751,5,0
253899-2,253923-0,0.352055899,6,0
253899-2,253917-2,0.008062349,7,0
253899-2,253914-1,0,8,0
253899-2,253905-0,0,9,0
253899-2,253899-1,0,0,1
253899-2,253891-0,0,10,0
253899-2,253894-0,0,11,0
253899-2,253926-0,0,12,0
253900-0,253923-1,8.478627672,1,0
253900-0,253900-2,8.464566929,0,1
253900-0,253907-1,7.353768279,2,0
253900-0,253900-1,5.441507312,0,1
253900-0,253926-1,1.51856018,3,0
253900-0,253929-1,1.349831271,4,0
253900-0,253923-2,0.520247469,5,0
253900-0,259772-1,0.05624297,6,0
253900-0,15114-128,0,7,0
253900-0,253899-1,0,8,0
253900-0,253891-1,0,9,0
253900-0,253908-1,0,10,0
253900-0,259782-2,0,11,0
253900-2,253929-1,46.89880305,1,0
253900-2,253926-1,6.311207835,2,0
253900-2,253900-0,1.305767138,0,1
253900-2,253900-1,0.27203482,0,1
253900-2,253907-1,0,3,0
253900-2,253929-0,0,4,0
253900-2,253929-2,0,5,0
253901-0,253934-2,22.22370529,1,0
253901-0,253898-2,9.770421783,2,0
253901-0,253930-128,8.255472504,3,0
253901-0,253904-0,7.487987186,4,0
253901-0,7201-128,2.802989856,5,0
253901-0,253901-2,2.122263748,0,1
253901-0,253932-2,1.107848372,6,0
253901-0,253893-2,0.887613454,7,0
253901-0,253901-1,0.527229044,0,1
253901-0,253930-130,0.080085424,8,0
253901-0,253930-129,0.033368927,9,0
253901-0,253902-1,0,10,0
253901-0,15583-128,0,11,0
253901-0,124677-1,0,12,0
253901-0,7400-128,0,13,0
253901-0,15579-129,0,14,0
253901-1,253904-2,15.48069644,1,0
253901-1,7400-128,7.305071915,2,0
253901-1,253901-2,2.157456472,0,1
253901-1,253930-130,2.100681302,3,0
253901-1,253930-129,0.492051476,4,0
253901-1,15113-130,0,5,0
253901-1,253905-0,0,6,0
253901-1,7201-128,0,7,0
253901-2,253901-0,5.190995907,0,1
253901-2,253901-1,4.63165075,0,1
253901-2,259778-0,2.4420191,1,0
253901-2,253893-2,2.319236016,2,0
253901-2,253904-2,0.716234652,3,0
253901-2,253930-130,0.70941337,4,0
253901-2,253905-0,0.259208731,5,0
