CITY,SCELL,NCELL,HOATT,HOSUCC,HOSUCCRATE
sanxia,253891-1,253900-1,174,173,0.9943
sanxia,253891-1,253924-0,140,140,1
sanxia,253891-1,15116-130,83,83,1
sanxia,253891-1,253929-0,63,62,0.9841
sanxia,253891-1,253908-1,55,55,1
sanxia,253891-1,253924-1,48,46,0.9583
sanxia,253891-1,253909-2,45,45,1
sanxia,253891-1,259779-0,41,41,1
sanxia,253891-1,253914-1,36,35,0.9722
sanxia,253891-1,253918-0,35,32,0.9143
sanxia,253891-1,253923-0,32,31,0.9688
sanxia,253891-1,15116-128,30,30,1
sanxia,253891-1,253920-2,19,19,1
sanxia,253891-1,7313-144,18,14,0.7778
sanxia,253891-1,253899-0,6,5,0.8333
sanxia,253891-1,259782-1,5,5,1
sanxia,253891-1,259779-1,4,4,1
sanxia,253891-1,253900-0,3,2,0.6667
sanxia,253891-1,253909-1,1,1,1
sanxia,253891-1,253923-2,1,0,0
sanxia,253891-2,253899-0,9255,9251,0.9996
sanxia,253891-2,253899-1,6190,6186,0.9994
sanxia,253891-2,253891-1,5135,5133,0.9996
sanxia,253891-2,253891-0,2114,2114,1
sanxia,253891-2,253909-2,1853,1853,1
sanxia,253891-2,253907-0,1341,1338,0.9978
sanxia,253891-2,253899-2,691,690,0.9986
sanxia,253891-2,253908-1,538,535,0.9944
sanxia,253891-2,253935-1,528,527,0.9981
sanxia,253891-2,253923-0,342,341,0.9971
sanxia,253891-2,253923-1,311,311,1
sanxia,253891-2,253890-1,280,280,1
sanxia,253891-2,259772-0,177,177,1
sanxia,253891-2,15114-128,145,144,0.9931
sanxia,253891-2,253907-3,60,44,0.7333
sanxia,253891-2,253909-1,44,43,0.9773
sanxia,253891-2,259782-2,40,40,1
sanxia,253891-2,253908-0,33,32,0.9697
sanxia,253891-2,253926-0,22,22,1
sanxia,253891-2,253924-2,14,14,1
sanxia,253891-2,47519-16,12,11,0.9167
sanxia,253891-2,253924-0,11,11,1
sanxia,253891-2,253923-2,4,4,1
sanxia,253891-2,253926-1,1,1,1
sanxia,253891-2,253929-0,1,1,1
sanxia,253891-2,253935-2,1,1,1
sanxia,253891-2,259772-1,1,1,1
sanxia,253891-2,253907-1,1,1,1
sanxia,253891-2,253900-0,1,1,1
sanxia,253892-0,253935-0,1288,1284,0.9969
sanxia,253892-0,253892-2,1093,1090,0.9973
sanxia,253892-0,253890-2,819,815,0.9951
sanxia,253892-0,253912-0,508,508,1
sanxia,253892-0,253912-2,506,501,0.9901
sanxia,253892-0,15113-130,456,453,0.9934
sanxia,253892-0,253892-3,403,403,1
sanxia,253892-0,253914-2,197,196,0.9949
sanxia,253892-0,253890-1,191,189,0.9895
sanxia,253892-0,253934-1,183,183,1
sanxia,253892-0,253892-1,158,158,1
sanxia,253892-0,253892-5,74,73,0.9865
sanxia,253892-0,253936-1,47,45,0.9574
sanxia,253892-0,253908-1,44,43,0.9773
sanxia,253892-0,259772-0,43,42,0.9767
sanxia,253892-0,15113-129,40,37,0.925
sanxia,253892-0,253935-1,37,35,0.9459
sanxia,253892-0,259775-1,36,35,0.9722
sanxia,253892-0,253892-4,24,24,1
sanxia,253892-0,253907-0,20,20,1
sanxia,253892-0,15578-129,11,11,1
sanxia,253892-0,47484-16,8,4,0.5
sanxia,253892-0,253909-2,7,7,1
sanxia,253892-0,253927-1,7,7,1
sanxia,253892-0,7385-144,6,5,0.8333
sanxia,253892-0,253935-2,5,5,1
sanxia,253892-0,253940-0,5,5,1
sanxia,253892-0,253940-2,4,4,1
sanxia,253892-0,7360-144,4,2,0.5
sanxia,253892-0,253890-0,4,4,1
sanxia,253892-0,253899-2,3,3,1
sanxia,253892-0,15113-4,3,3,1
sanxia,253892-0,253936-2,3,3,1
sanxia,253892-0,253936-0,1,1,1
sanxia,253892-0,253940-1,1,1,1
sanxia,253892-0,47592-16,1,1,1
sanxia,253892-0,259772-2,1,1,1
sanxia,253892-0,15579-130,1,1,1
sanxia,253892-1,253940-1,3946,3946,1
sanxia,253892-1,253912-2,3319,3319,1
sanxia,253892-1,253902-0,2763,2763,1
sanxia,253892-1,253892-4,2563,2562,0.9996
sanxia,253892-1,253892-2,2455,2452,0.9988
sanxia,253892-1,253902-1,639,636,0.9953
sanxia,253892-1,15579-130,295,294,0.9966
sanxia,253892-1,253912-1,212,212,1
sanxia,253892-1,253892-0,150,150,1
sanxia,253892-1,253895-1,131,131,1
sanxia,253892-1,253902-2,106,106,1
sanxia,253892-1,253933-2,96,96,1
sanxia,253892-1,253921-1,92,91,0.9891
sanxia,253892-1,253892-5,87,85,0.977
sanxia,253892-1,15579-128,78,78,1
sanxia,253892-1,259772-2,59,59,1
sanxia,253892-1,253936-2,56,55,0.9821
sanxia,253892-1,253940-0,35,35,1
sanxia,253892-1,15579-129,29,29,1
sanxia,253892-1,253895-0,21,21,1
sanxia,253892-1,253890-2,20,20,1
sanxia,253892-1,253892-3,3,3,1
sanxia,253892-1,253933-0,3,3,1
sanxia,253892-1,253912-0,2,2,1
sanxia,253892-1,253916-1,1,1,1
sanxia,253892-1,253921-0,1,1,1
sanxia,253892-1,253935-0,1,1,1
sanxia,253892-1,253940-2,1,1,1
sanxia,253892-2,253892-5,7343,7278,0.9911
sanxia,253892-2,15113-130,4675,4667,0.9983
sanxia,253892-2,253940-1,4589,4581,0.9983
sanxia,253892-2,253936-2,3043,3041,0.9993
sanxia,253892-2,253892-1,2277,2275,0.9991
sanxia,253892-2,253940-0,2121,2119,0.9991
sanxia,253892-2,253912-2,1266,1262,0.9968
sanxia,253892-2,253892-0,1185,1180,0.9958
sanxia,253892-2,253935-0,1157,1151,0.9948
sanxia,253892-2,253936-1,396,396,1
sanxia,253892-2,253902-2,323,321,0.9938
sanxia,253892-2,253892-4,221,219,0.991
sanxia,253892-2,15579-129,170,170,1
sanxia,253892-2,253940-2,161,160,0.9938
sanxia,253892-2,253902-0,134,133,0.9925
sanxia,253892-2,259775-1,106,105,0.9906
sanxia,253892-2,253892-3,98,98,1
sanxia,253892-2,253914-2,81,81,1
sanxia,253892-2,253921-0,76,75,0.9868
sanxia,253892-2,253890-2,66,65,0.9848
sanxia,253892-2,15113-128,61,61,1
sanxia,253892-2,253927-1,41,41,1
sanxia,253892-2,253936-0,22,22,1
sanxia,253892-2,15579-128,20,20,1
sanxia,253892-2,253898-1,18,18,1
sanxia,253892-2,253934-1,16,16,1
sanxia,253892-2,253921-1,15,15,1
sanxia,253892-2,47484-16,13,12,0.9231
sanxia,253892-2,253895-0,11,11,1
sanxia,253892-2,253890-0,11,10,0.9091
sanxia,253892-2,253912-0,11,11,1
sanxia,253892-2,253906-0,10,10,1
sanxia,253892-2,15578-128,8,8,1
sanxia,253892-2,15113-129,7,7,1
sanxia,253892-2,15113-4,4,4,1
sanxia,253892-2,15578-129,3,3,1
sanxia,253892-2,15578-130,1,1,1
sanxia,253892-2,253890-1,1,1,1
sanxia,253892-2,253932-1,1,1,1
sanxia,253892-3,253892-5,5724,5718,0.999
sanxia,253892-3,253890-2,2759,2758,0.9996
sanxia,253892-3,253892-4,1545,1539,0.9961
sanxia,253892-3,253892-0,705,705,1
sanxia,253892-3,253935-0,532,531,0.9981
sanxia,253892-3,253912-0,275,273,0.9927
sanxia,253892-3,253912-2,234,234,1
sanxia,253892-3,253890-1,203,203,1
sanxia,253892-3,15113-4,200,199,0.995
sanxia,253892-3,253892-2,196,195,0.9949
sanxia,253892-3,253935-1,68,68,1
sanxia,253892-3,15113-129,36,36,1
sanxia,253892-3,15113-5,36,36,1
sanxia,253892-3,253936-1,18,18,1
sanxia,253892-3,253940-0,18,18,1
sanxia,253892-3,253936-2,14,14,1
sanxia,253892-3,253912-1,14,14,1
sanxia,253892-3,253892-1,9,9,1
sanxia,253892-3,259772-2,6,6,1
sanxia,253892-3,253890-0,5,4,0.8
sanxia,253892-3,253940-2,5,2,0.4
sanxia,253892-3,253935-2,3,3,1
sanxia,253892-3,253921-0,3,3,1
sanxia,253892-3,15579-129,2,2,1
sanxia,253892-3,253902-0,1,1,1
sanxia,253892-3,253936-0,1,1,1
sanxia,253892-3,253940-1,1,1,1
sanxia,253892-4,253892-5,16700,16691,0.9995
sanxia,253892-4,253940-1,7918,7916,0.9997
sanxia,253892-4,253912-2,4323,4322,0.9998
sanxia,253892-4,253892-1,2452,2442,0.9959
sanxia,253892-4,253912-0,2236,2233,0.9987
sanxia,253892-4,253892-3,1660,1654,0.9964
sanxia,253892-4,253921-1,1446,1446,1
sanxia,253892-4,253890-2,1154,1152,0.9983
sanxia,253892-4,253902-0,1126,1126,1
sanxia,253892-4,253912-1,1029,1027,0.9981
sanxia,253892-4,253933-2,988,987,0.999
sanxia,253892-4,253902-2,636,635,0.9984
sanxia,253892-4,253902-1,614,614,1
sanxia,253892-4,253892-2,392,392,1
sanxia,253892-4,15579-130,382,382,1
sanxia,253892-4,259772-2,377,375,0.9947
sanxia,253892-4,253895-1,289,289,1
sanxia,253892-4,15579-128,188,188,1
sanxia,253892-4,15579-129,154,153,0.9935
sanxia,253892-4,253895-0,108,108,1
sanxia,253892-4,253933-0,62,62,1
sanxia,253892-4,253933-1,55,55,1
sanxia,253892-4,253921-0,51,51,1
sanxia,253892-4,253892-0,36,36,1
sanxia,253892-4,259772-0,23,23,1
sanxia,253892-4,253921-2,22,22,1
sanxia,253892-4,253940-2,21,21,1
sanxia,253892-4,253936-2,13,13,1
sanxia,253892-4,253890-1,13,12,0.9231
sanxia,253892-4,253940-0,6,6,1
sanxia,253892-4,253936-1,4,4,1
sanxia,253892-4,253916-0,3,3,1
sanxia,253892-4,253916-2,2,2,1
sanxia,253892-5,253892-4,16030,16022,0.9995
sanxia,253892-5,253892-2,7821,7814,0.9991
sanxia,253892-5,253940-1,7338,7333,0.9993
sanxia,253892-5,253892-3,5887,5883,0.9993
sanxia,253892-5,253921-1,2801,2799,0.9993
sanxia,253892-5,253921-2,2798,2780,0.9936
sanxia,253892-5,253940-0,2012,2012,1
sanxia,253892-5,253936-2,1905,1900,0.9974
sanxia,253892-5,15113-130,1637,1634,0.9982
sanxia,253892-5,15113-4,1211,1209,0.9983
sanxia,253892-5,15113-5,1111,1105,0.9946
sanxia,253892-5,253940-2,1089,1080,0.9917
sanxia,253892-5,253912-2,961,954,0.9927
sanxia,253892-5,253890-2,882,881,0.9989
sanxia,253892-5,253921-0,858,858,1
sanxia,253892-5,253935-0,371,369,0.9946
sanxia,253892-5,253902-2,242,235,0.9711
sanxia,253892-5,253892-1,241,240,0.9959
sanxia,253892-5,15113-3,197,195,0.9898
sanxia,253892-5,253892-0,127,127,1
sanxia,253892-5,253936-1,71,71,1
sanxia,253892-5,15579-129,42,42,1
sanxia,253892-5,15579-128,40,40,1
sanxia,253892-5,253895-0,36,36,1
sanxia,253892-5,253912-0,24,24,1
sanxia,253892-5,253890-1,23,22,0.9565
sanxia,253892-5,253902-0,14,13,0.9286
sanxia,253892-5,253890-0,12,12,1
sanxia,253892-5,15113-129,12,12,1
sanxia,253892-5,253936-0,8,8,1
sanxia,253892-5,15579-130,2,2,1
sanxia,253892-5,253935-2,1,1,1
sanxia,253893-0,5641-129,9809,9796,0.9987
sanxia,253893-0,7400-130,7236,7230,0.9992
sanxia,253893-0,238397-2,6398,6396,0.9997
sanxia,253893-0,253893-2,3290,3289,0.9997
sanxia,253893-0,259778-1,2325,2321,0.9983
sanxia,253893-0,253905-1,1122,1116,0.9947
sanxia,253893-0,253893-1,774,772,0.9974
sanxia,253893-0,253894-2,772,770,0.9974
sanxia,253893-0,253931-2,672,672,1
sanxia,253893-0,253939-0,454,453,0.9978
sanxia,253893-0,253931-1,401,398,0.9925
sanxia,253893-0,253894-0,352,351,0.9972
sanxia,253893-0,7320-144,183,180,0.9836
sanxia,253893-0,5641-128,145,144,0.9931
sanxia,253893-0,253931-0,142,142,1
sanxia,253893-0,253927-1,141,140,0.9929
sanxia,253893-0,238397-1,126,126,1
sanxia,253893-0,253941-0,111,108,0.973
sanxia,253893-0,253906-2,109,108,0.9908
sanxia,253893-0,238397-0,98,97,0.9898
sanxia,253893-0,5641-130,47,47,1
sanxia,253893-0,253927-2,39,39,1
sanxia,253893-0,253921-2,38,36,0.9474
sanxia,253893-0,253939-1,24,22,0.9167
sanxia,253893-0,253941-2,23,21,0.913
sanxia,253893-0,253904-1,21,21,1
sanxia,253893-0,253903-1,17,15,0.8824
sanxia,253893-0,253930-129,16,15,0.9375
sanxia,253893-0,253927-0,8,8,1
sanxia,253893-0,7400-128,8,8,1
sanxia,253893-0,259775-2,6,6,1
sanxia,253893-0,7400-129,4,4,1
sanxia,253893-0,47588-16,4,4,1
sanxia,253893-0,253905-0,4,4,1
sanxia,253893-0,253904-2,3,3,1
sanxia,253893-0,253901-1,1,1,1
sanxia,253893-0,238455-16,1,1,1
sanxia,253893-1,5641-128,4456,4455,0.9998
sanxia,253893-1,5641-129,1418,1418,1
sanxia,253893-1,253893-0,814,798,0.9803
sanxia,253893-1,253905-1,810,809,0.9988
sanxia,253893-1,253939-0,539,539,1
sanxia,253893-1,7400-130,243,243,1
sanxia,253893-1,5641-130,166,166,1
sanxia,253893-1,259778-2,121,121,1
sanxia,253893-1,253903-0,94,94,1
sanxia,253893-1,253894-2,72,72,1
sanxia,253893-1,238397-2,69,69,1
sanxia,253893-1,253903-1,58,58,1
sanxia,253893-1,253893-2,54,54,1
sanxia,253893-1,259778-1,32,32,1
sanxia,253893-1,253939-1,26,25,0.9615
sanxia,253893-1,253903-2,13,12,0.9231
sanxia,253893-1,253894-0,6,6,1
sanxia,253893-1,253939-2,3,3,1
sanxia,253893-1,253931-2,2,2,1
sanxia,253893-2,253905-1,8806,8805,0.9999
sanxia,253893-2,259778-1,4595,4594,0.9998
sanxia,253893-2,253893-0,3142,3142,1
sanxia,253893-2,238397-2,611,611,1
sanxia,253893-2,5641-128,305,304,0.9967
sanxia,253893-2,253905-0,287,287,1
sanxia,253893-2,253901-2,175,175,1
sanxia,253893-2,253905-2,68,68,1
sanxia,253893-2,47588-16,53,45,0.8491
sanxia,253893-2,253893-1,46,46,1
sanxia,253893-2,7400-130,26,26,1
sanxia,253893-2,253927-2,19,19,1
sanxia,253893-2,5641-129,6,6,1
sanxia,253893-2,7400-128,4,4,1
sanxia,253893-2,253901-1,1,1,1
sanxia,253893-2,253903-0,1,1,1
sanxia,253893-2,253901-0,1,1,1
sanxia,253894-0,253931-2,6601,6597,0.9994
sanxia,253894-0,5641-129,2220,2217,0.9986
sanxia,253894-0,253894-2,1706,1706,1
sanxia,253894-0,253906-2,1014,1013,0.999
sanxia,253894-0,253931-1,813,809,0.9951
sanxia,253894-0,253894-1,608,604,0.9934
sanxia,253894-0,253893-0,355,354,0.9972
sanxia,253894-0,253939-0,214,214,1
sanxia,253894-0,253903-1,185,183,0.9892
sanxia,253894-0,253941-0,83,82,0.988
sanxia,253894-0,274161-130,51,51,1
sanxia,253894-0,253905-1,30,30,1
sanxia,253894-0,253927-2,28,28,1
sanxia,253894-0,253931-0,23,23,1
sanxia,253894-0,253904-2,20,20,1
sanxia,253894-0,238397-1,19,19,1
sanxia,253894-0,253906-1,18,17,0.9444
sanxia,253894-0,7400-130,17,17,1
sanxia,253894-0,238397-0,16,16,1
sanxia,253894-0,274161-128,8,8,1
sanxia,253894-0,253939-1,6,6,1
sanxia,253894-0,253921-2,5,5,1
sanxia,253894-0,253893-1,5,5,1
sanxia,253894-0,7400-129,4,4,1
sanxia,253894-0,253940-2,2,2,1
sanxia,253894-1,253941-0,10182,10178,0.9996
sanxia,253894-1,253906-1,9562,9539,0.9976
sanxia,253894-1,253941-2,9458,9450,0.9992
sanxia,253894-1,274161-128,5190,5174,0.9969
sanxia,253894-1,253894-2,4573,4573,1
sanxia,253894-1,253916-2,3761,3735,0.9931
sanxia,253894-1,253931-1,1231,1227,0.9968
sanxia,253894-1,253931-2,1159,1147,0.9896
sanxia,253894-1,5641-129,697,694,0.9957
sanxia,253894-1,253894-0,565,562,0.9947
sanxia,253894-1,7400-130,381,380,0.9974
sanxia,253894-1,253921-2,264,260,0.9848
sanxia,253894-1,253939-1,147,142,0.966
sanxia,253894-1,253927-2,107,107,1
sanxia,253894-1,253906-2,94,94,1
sanxia,253894-1,253928-2,93,93,1
sanxia,253894-1,253941-1,90,89,0.9889
sanxia,253894-1,253895-2,87,84,0.9655
sanxia,253894-1,124712-0,25,24,0.96
sanxia,253894-1,253940-2,24,24,1
sanxia,253894-1,124712-2,1,1,1
sanxia,253894-1,274161-130,1,1,1
sanxia,253894-2,253939-0,8328,8327,0.9999
sanxia,253894-2,253894-1,4409,4408,0.9998
sanxia,253894-2,274161-130,2780,2770,0.9964
sanxia,253894-2,5641-129,2050,2049,0.9995
sanxia,253894-2,7400-130,1701,1694,0.9959
sanxia,253894-2,253894-0,1686,1686,1
sanxia,253894-2,253939-1,1575,1569,0.9962
sanxia,253894-2,253893-0,763,762,0.9987
sanxia,253894-2,253931-2,629,626,0.9952
sanxia,253894-2,253905-1,547,543,0.9927
sanxia,253894-2,253939-2,308,308,1
sanxia,253894-2,238397-2,254,253,0.9961
sanxia,253894-2,238397-1,181,179,0.989
sanxia,253894-2,253941-2,103,103,1
sanxia,253894-2,253893-1,69,69,1
sanxia,253894-2,253903-1,59,59,1
sanxia,253894-2,274161-128,43,43,1
sanxia,253894-2,253906-1,17,17,1
sanxia,253894-2,253941-0,16,16,1
sanxia,253894-2,253928-2,13,13,1
sanxia,253894-2,259778-1,6,6,1
sanxia,253894-2,5641-130,4,4,1
sanxia,253894-2,253921-2,3,3,1
sanxia,253895-0,253895-1,13571,13571,1
sanxia,253895-0,253940-1,7234,7227,0.999
sanxia,253895-0,253921-1,5351,5347,0.9993
sanxia,253895-0,259772-2,1035,1034,0.999
sanxia,253895-0,253916-1,798,798,1
sanxia,253895-0,253902-2,522,522,1
sanxia,253895-0,253912-2,502,498,0.992
sanxia,253895-0,253906-0,478,478,1
sanxia,253895-0,253895-2,458,458,1
sanxia,253895-0,253902-1,362,362,1
sanxia,253895-0,253916-0,262,262,1
sanxia,253895-0,15579-130,248,248,1
sanxia,253895-0,253936-2,238,237,0.9958
sanxia,253895-0,253940-2,84,84,1
sanxia,253895-0,259775-1,42,41,0.9762
sanxia,253895-0,253892-4,27,22,0.8148
sanxia,253895-0,253921-0,20,20,1
sanxia,253895-0,253892-1,19,19,1
sanxia,253895-0,253927-1,17,17,1
sanxia,253895-0,253940-0,14,13,0.9286
sanxia,253895-0,253892-5,12,10,0.8333
sanxia,253895-0,253892-2,9,9,1
sanxia,253895-0,253902-0,6,6,1
sanxia,253895-0,253912-1,4,4,1
sanxia,253895-0,253921-2,3,3,1
sanxia,253895-0,253936-1,3,3,1
sanxia,253895-0,15578-130,2,2,1
sanxia,253895-0,253913-0,1,0,0
sanxia,253895-1,253895-0,13101,13099,0.9998
sanxia,253895-1,253916-1,11226,11223,0.9997
sanxia,253895-1,253907-2,4397,4396,0.9998
sanxia,253895-1,253902-1,3554,3550,0.9989
sanxia,253895-1,253917-2,3518,3516,0.9994
sanxia,253895-1,253933-2,2710,2708,0.9993
sanxia,253895-1,253921-1,2710,2708,0.9993
sanxia,253895-1,253912-2,2372,2370,0.9992
sanxia,253895-1,253928-0,2168,2165,0.9986
sanxia,253895-1,253912-1,2017,2015,0.999
sanxia,253895-1,253895-2,1227,1214,0.9894
sanxia,253895-1,253941-1,923,922,0.9989
sanxia,253895-1,259772-2,728,727,0.9986
sanxia,253895-1,253892-4,239,235,0.9833
sanxia,253895-1,253940-1,199,199,1
sanxia,253895-1,253916-0,149,149,1
sanxia,253895-1,253892-1,134,134,1
sanxia,253895-1,253933-1,133,132,0.9925
sanxia,253895-1,253913-0,56,55,0.9821
sanxia,253895-1,253906-0,44,44,1
sanxia,253895-1,253902-0,10,10,1
sanxia,253895-1,253933-0,10,10,1
sanxia,253895-1,253906-1,4,4,1
sanxia,253895-1,253916-2,3,3,1
sanxia,253895-1,253913-2,1,1,1
sanxia,253895-1,253892-3,1,0,0
sanxia,253895-2,253916-0,3581,3580,0.9997
sanxia,253895-2,253906-0,2394,2394,1
sanxia,253895-2,253916-1,2338,2335,0.9987
sanxia,253895-2,253916-2,1253,1251,0.9984
sanxia,253895-2,253895-1,1126,1125,0.9991
sanxia,253895-2,253895-0,705,705,1
sanxia,253895-2,253941-1,683,682,0.9985
sanxia,253895-2,253921-1,594,594,1
sanxia,253895-2,253928-2,337,337,1
sanxia,253895-2,253906-1,151,151,1
sanxia,253895-2,253928-0,131,131,1
sanxia,253895-2,253894-1,81,81,1
sanxia,253895-2,253933-2,20,19,0.95
sanxia,253895-2,253933-1,14,14,1
sanxia,253895-2,124712-0,9,9,1
sanxia,253895-2,253912-2,5,5,1
sanxia,253895-2,253940-1,4,4,1
sanxia,253895-2,253906-2,3,3,1
sanxia,253895-2,253892-4,1,1,1
sanxia,253895-2,253940-2,1,1,1
sanxia,253895-2,253941-0,1,1,1
sanxia,253895-2,253931-1,1,1,1
sanxia,253895-2,253927-1,1,1,1
sanxia,253896-0,253910-0,700,699,0.9986
sanxia,253896-0,7200-128,538,536,0.9963
sanxia,253896-0,253911-0,430,427,0.993
sanxia,253896-0,253932-0,377,366,0.9708
sanxia,253896-0,253896-2,314,311,0.9904
sanxia,253896-0,5682-128,92,91,0.9891
sanxia,253896-0,7201-128,46,46,1
sanxia,253896-0,253911-2,36,35,0.9722
sanxia,253896-0,253896-1,23,23,1
sanxia,253896-0,253908-2,5,4,0.8
sanxia,253896-0,253932-1,4,4,1
sanxia,253896-0,15113-129,2,0,0
sanxia,253896-1,5682-128,11890,11889,0.9999
sanxia,253896-1,253911-0,5501,5495,0.9989
sanxia,253896-1,253896-2,4316,4303,0.997
sanxia,253896-1,7200-128,2706,2702,0.9985
sanxia,253896-1,253896-0,35,34,0.9714
sanxia,253896-1,253910-1,10,10,1
sanxia,253896-1,253910-0,4,4,1
sanxia,253896-2,253911-0,25035,25029,0.9998
sanxia,253896-2,253911-2,12686,12682,0.9997
sanxia,253896-2,253910-0,9124,9123,0.9999
sanxia,253896-2,5682-128,7125,7123,0.9997
sanxia,253896-2,253896-1,4723,4723,1
sanxia,253896-2,253911-1,4401,4401,1
sanxia,253896-2,253932-0,2914,2908,0.9979
sanxia,253896-2,7201-128,2581,2580,0.9996
sanxia,253896-2,253896-0,413,412,0.9976
sanxia,253896-2,253910-2,297,297,1
sanxia,253896-2,253908-2,45,45,1
sanxia,253896-2,7200-128,42,42,1
sanxia,253896-2,253932-1,35,35,1
sanxia,253896-2,253910-1,22,22,1
sanxia,253896-2,253908-1,3,3,1
sanxia,253896-2,253914-1,2,2,1
sanxia,253896-2,253908-0,1,1,1
sanxia,253896-2,253909-2,1,1,1
sanxia,253896-2,253932-2,1,1,1
sanxia,253896-2,253934-2,1,1,1
sanxia,253898-0,253898-2,1865,1864,0.9995
sanxia,253898-0,253932-2,1539,1538,0.9994
sanxia,253898-0,253934-2,1095,1095,1
sanxia,253898-0,253898-1,517,515,0.9961
sanxia,253898-0,7201-128,493,493,1
sanxia,253898-0,253904-0,267,266,0.9963
sanxia,253898-0,253901-0,23,23,1
sanxia,253898-0,253930-128,20,20,1
sanxia,253898-0,253934-1,14,13,0.9286
sanxia,253898-0,259775-0,13,13,1
sanxia,253898-0,253904-1,9,9,1
sanxia,253898-0,253911-2,7,7,1
sanxia,253898-0,253936-0,7,7,1
sanxia,253898-0,253932-1,4,4,1
sanxia,253898-0,253932-0,2,2,1
sanxia,253898-0,15113-128,1,1,1
sanxia,253898-1,253936-0,5830,5799,0.9947
sanxia,253898-1,259775-0,2095,2091,0.9981
sanxia,253898-1,253934-2,2049,2046,0.9985
sanxia,253898-1,259775-1,1736,1735,0.9994
sanxia,253898-1,253936-2,1124,1118,0.9947
sanxia,253898-1,253898-2,810,808,0.9975
sanxia,253898-1,253904-1,785,785,1
sanxia,253898-1,253898-0,470,469,0.9979
sanxia,253898-1,15113-130,467,464,0.9936
sanxia,253898-1,7319-144,431,417,0.9675
sanxia,253898-1,15578-129,284,282,0.993
sanxia,253898-1,15113-128,255,251,0.9843
sanxia,253898-1,253932-1,161,161,1
sanxia,253898-1,253921-0,143,142,0.993
sanxia,253898-1,15578-130,135,135,1
sanxia,253898-1,253911-2,88,87,0.9886
sanxia,253898-1,253934-1,81,81,1
sanxia,253898-1,15578-128,68,67,0.9853
sanxia,253898-1,253932-2,57,55,0.9649
sanxia,253898-1,253914-2,52,52,1
sanxia,253898-1,253940-0,36,36,1
sanxia,253898-1,253930-128,27,27,1
sanxia,253898-1,253892-2,18,18,1
sanxia,253898-1,7318-144,17,17,1
sanxia,253898-1,253936-1,10,10,1
sanxia,253898-1,253927-1,10,10,1
sanxia,253898-1,253940-2,8,7,0.875
sanxia,253898-1,253927-0,3,3,1
sanxia,253898-1,253904-0,3,3,1
sanxia,253898-1,15113-4,2,2,1
sanxia,253898-1,7295-144,1,1,1
sanxia,253898-1,253935-0,1,1,1
sanxia,253898-2,253904-0,6008,6002,0.999
sanxia,253898-2,253904-1,4214,4213,0.9998
sanxia,253898-2,253934-2,2957,2955,0.9993
sanxia,253898-2,259775-0,2797,2792,0.9982
sanxia,253898-2,253898-0,1819,1818,0.9995
sanxia,253898-2,259775-2,1484,1483,0.9993
sanxia,253898-2,253930-129,1275,1275,1
sanxia,253898-2,253901-0,947,947,1
sanxia,253898-2,253932-2,934,933,0.9989
sanxia,253898-2,253927-0,892,891,0.9989
sanxia,253898-2,253898-1,813,809,0.9951
sanxia,253898-2,253930-128,248,248,1
sanxia,253898-2,253904-2,218,218,1
sanxia,253898-2,238397-0,162,161,0.9938
sanxia,253898-2,15113-130,62,61,0.9839
sanxia,253898-2,253931-0,46,46,1
sanxia,253898-2,253901-1,38,38,1
sanxia,253898-2,259775-1,31,31,1
sanxia,253898-2,253927-1,18,17,0.9444
sanxia,253898-2,7295-144,10,10,1
sanxia,253898-2,7319-144,8,6,0.75
sanxia,253898-2,253936-0,8,8,1
sanxia,253898-2,253921-0,4,4,1
sanxia,253898-2,7318-144,3,3,1
sanxia,253898-2,253934-1,2,2,1
sanxia,253898-2,253940-2,2,2,1
sanxia,253898-2,253936-2,1,1,1
sanxia,253898-2,124711-1,1,1,1
sanxia,253899-0,253907-0,9670,9658,0.9988
sanxia,253899-0,253891-2,9337,9335,0.9998
sanxia,253899-0,253899-2,8389,8382,0.9992
sanxia,253899-0,253890-1,8141,8137,0.9995
sanxia,253899-0,253909-2,6094,6090,0.9993
sanxia,253899-0,15113-129,4078,4072,0.9985
sanxia,253899-0,253914-1,2820,2818,0.9993
sanxia,253899-0,259772-0,1664,1663,0.9994
sanxia,253899-0,253899-1,1613,1608,0.9969
sanxia,253899-0,253891-0,1556,1551,0.9968
sanxia,253899-0,253908-1,868,867,0.9988
sanxia,253899-0,253935-1,718,718,1
sanxia,253899-0,47519-16,165,149,0.903
sanxia,253899-0,253923-0,116,116,1
sanxia,253899-0,253909-1,97,97,1
sanxia,253899-0,253935-0,63,63,1
sanxia,253899-0,259772-1,29,29,1
sanxia,253899-0,253910-2,24,24,1
sanxia,253899-0,253907-1,6,6,1
sanxia,253899-0,253911-1,3,3,1
sanxia,253899-0,253924-0,3,3,1
sanxia,253899-0,253908-0,2,2,1
sanxia,253899-0,253891-1,2,2,1
sanxia,253899-0,253923-2,1,1,1
sanxia,253899-1,253923-0,12351,12346,0.9996
sanxia,253899-1,253907-0,9033,9031,0.9998
sanxia,253899-1,253923-1,6574,6569,0.9992
sanxia,253899-1,253891-2,5965,5963,0.9997
sanxia,253899-1,253923-2,4148,4147,0.9998
sanxia,253899-1,253891-1,3741,3740,0.9997
sanxia,253899-1,253899-0,2025,2013,0.9941
sanxia,253899-1,259772-1,1099,1096,0.9973
