CITY,SCELL,NCELL,HOATT,HOSUCC,HOSUCCRATE
sanxia,15113-3,15113-4,16150,16140,0.9994
sanxia,15113-3,15113-5,5141,5132,0.9982
sanxia,15113-3,15113-128,2752,2750,0.9993
sanxia,15113-3,253936-0,1522,1519,0.998
sanxia,15113-3,15113-129,809,808,0.9988
sanxia,15113-3,253914-2,712,711,0.9986
sanxia,15113-3,253934-1,503,503,1
sanxia,15113-3,253890-0,331,330,0.997
sanxia,15113-3,253934-2,227,227,1
sanxia,15113-3,253892-5,197,196,0.9949
sanxia,15113-3,253890-1,147,147,1
sanxia,15113-3,253914-1,129,129,1
sanxia,15113-3,253932-1,101,101,1
sanxia,15113-3,253909-2,32,32,1
sanxia,15113-3,15113-130,32,32,1
sanxia,15113-3,253935-0,22,22,1
sanxia,15113-3,253890-2,19,19,1
sanxia,15113-3,253914-0,7,7,1
sanxia,15113-3,253932-2,7,7,1
sanxia,15113-3,253892-2,6,6,1
sanxia,15113-3,253936-1,2,2,1
sanxia,15113-3,253936-2,2,2,1
sanxia,15113-3,253934-0,1,1,1
sanxia,15113-4,15113-3,16155,16153,0.9999
sanxia,15113-4,15113-5,6603,6596,0.9989
sanxia,15113-4,15113-129,2784,2782,0.9993
sanxia,15113-4,15113-130,2492,2480,0.9952
sanxia,15113-4,253890-2,1594,1594,1
sanxia,15113-4,253892-5,1150,1144,0.9948
sanxia,15113-4,253890-0,1140,1140,1
sanxia,15113-4,253890-1,1037,1036,0.999
sanxia,15113-4,253936-1,945,945,1
sanxia,15113-4,15113-128,570,569,0.9982
sanxia,15113-4,253935-0,330,330,1
sanxia,15113-4,253936-2,281,281,1
sanxia,15113-4,253914-2,238,238,1
sanxia,15113-4,253914-1,229,229,1
sanxia,15113-4,253892-3,228,228,1
sanxia,15113-4,253934-1,118,117,0.9915
sanxia,15113-4,253935-1,63,62,0.9841
sanxia,15113-4,253909-2,17,17,1
sanxia,15113-4,253898-1,14,14,1
sanxia,15113-4,253912-2,12,11,0.9167
sanxia,15113-4,253892-2,7,7,1
sanxia,15113-4,259772-0,5,5,1
sanxia,15113-4,259772-2,4,4,1
sanxia,15113-4,15578-129,4,4,1
sanxia,15113-4,253892-0,2,2,1
sanxia,15113-4,253914-0,2,2,1
sanxia,15113-4,253935-2,1,1,1
sanxia,15113-5,15113-4,7429,7423,0.9992
sanxia,15113-5,15113-3,4945,4937,0.9984
sanxia,15113-5,253936-1,2640,2638,0.9992
sanxia,15113-5,15113-130,2528,2511,0.9933
sanxia,15113-5,253892-5,1189,1184,0.9958
sanxia,15113-5,259775-1,1092,1090,0.9982
sanxia,15113-5,253890-2,999,998,0.999
sanxia,15113-5,253936-0,625,625,1
sanxia,15113-5,15113-128,613,610,0.9951
sanxia,15113-5,259775-2,348,344,0.9885
sanxia,15113-5,253936-2,296,296,1
sanxia,15113-5,253934-2,276,276,1
sanxia,15113-5,253935-0,136,136,1
sanxia,15113-5,253890-0,119,119,1
sanxia,15113-5,253914-2,103,102,0.9903
sanxia,15113-5,253932-1,97,97,1
sanxia,15113-5,253890-1,75,75,1
sanxia,15113-5,259775-0,42,41,0.9762
sanxia,15113-5,15113-129,35,35,1
sanxia,15113-5,253892-3,22,22,1
sanxia,15113-5,15578-129,17,17,1
sanxia,15113-5,253934-1,15,15,1
sanxia,15113-5,253932-2,11,11,1
sanxia,15113-5,15578-128,5,5,1
sanxia,15113-5,15578-130,3,3,1
sanxia,15113-5,253892-2,2,2,1
sanxia,15113-5,253912-2,1,1,1
sanxia,15113-5,253909-2,1,0,0
sanxia,15113-5,253932-0,1,1,1
sanxia,15114-128,15114-130,24356,24354,0.9999
sanxia,15114-128,253923-1,14375,14374,0.9999
sanxia,15114-128,253891-1,2955,2952,0.999
sanxia,15114-128,15114-129,1782,1776,0.9966
sanxia,15114-128,253924-2,1356,1351,0.9963
sanxia,15114-128,259782-2,1033,1025,0.9923
sanxia,15114-128,253923-0,343,339,0.9883
sanxia,15114-128,259779-2,286,285,0.9965
sanxia,15114-128,253899-1,235,234,0.9957
sanxia,15114-128,253908-0,128,128,1
sanxia,15114-128,253891-2,107,107,1
sanxia,15114-128,253923-2,85,84,0.9882
sanxia,15114-128,124898-1,55,55,1
sanxia,15114-128,253900-0,46,46,1
sanxia,15114-128,15117-130,34,34,1
sanxia,15114-128,274142-144,27,20,0.7407
sanxia,15114-128,253891-0,17,15,0.8824
sanxia,15114-128,253900-1,14,14,1
sanxia,15114-128,253924-0,3,3,1
sanxia,15114-129,15114-130,29711,29702,0.9997
