S_SECTOR_ID,N_SECTOR_ID,S_EARFCN,N_EARFCN
124681-0,15481-128,38400,38400
124681-0,15514-129,38400,38400
124681-0,15515-129,38400,38400
124681-0,15515-130,38400,38400
124681-0,15516-128,38400,38400
124681-0,15516-129,38400,38400
124681-0,15516-130,38400,38400
124681-0,15517-129,38400,38400
124681-0,15517-130,38400,38400
124681-0,124678-0,38400,38400
124681-0,124678-2,38400,38400
124681-0,124681-1,38400,38400
124681-0,124681-2,38400,38400
124681-0,253950-0,38400,38400
124681-0,253950-1,38400,38400
124681-0,253950-2,38400,38400
124681-0,259584-0,38400,38400
124681-0,259584-1,38400,38400
124681-0,259584-2,38400,38400
124681-1,15294-129,38400,38400
124681-1,15301-128,38400,38400
124681-1,15301-129,38400,38400
124681-1,15307-128,38400,38400
124681-1,15307-130,38400,38400
124681-1,15427-129,38400,38400
124681-1,15479-129,38400,38400
124681-1,15480-128,38400,38400
124681-1,15480-129,38400,38400
124681-1,15481-128,38400,38400
124681-1,15481-129,38400,38400
124681-1,15481-130,38400,38400
124681-1,15482-128,38400,38400
124681-1,15482-130,38400,38400
124681-1,124678-2,38400,38400
124681-1,124681-0,38400,38400
124681-1,124681-2,38400,38400
124681-1,259659-0,38400,38400
124681-2,5660-129,38400,38400
124681-2,5660-130,38400,38400
124681-2,15294-128,38400,38400
124681-2,15294-129,38400,38400
124681-2,15294-130,38400,38400
124681-2,15301-128,38400,38400
124681-2,15301-129,38400,38400
124681-2,15301-130,38400,38400
124681-2,15427-129,38400,38400
124681-2,15479-128,38400,38400
124681-2,15479-129,38400,38400
124681-2,15480-128,38400,38400
124681-2,15480-129,38400,38400
124681-2,15480-130,38400,38400
124681-2,15481-128,38400,38400
124681-2,15481-130,38400,38400
124681-2,15516-130,38400,38400
124681-2,124681-0,38400,38400
124681-2,124681-1,38400,38400
124681-2,253950-1,38400,38400
124681-2,253950-2,38400,38400
124681-2,259659-0,38400,38400
124681-2,259659-2,38400,38400
124683-0,15295-128,38400,38400
124683-0,15295-129,38400,38400
124683-0,15295-130,38400,38400
124683-0,15297-128,38400,38400
124683-0,15297-129,38400,38400
124683-0,15336-128,38400,38400
124683-0,15336-129,38400,38400
124683-0,47440-0,38400,38400
124683-0,47440-1,38400,38400
124683-0,124683-1,38400,38400
124683-0,124683-2,38400,38400
124683-0,124687-0,38400,38400
124683-0,124687-2,38400,38400
124683-0,124815-0,38400,38400
124683-0,259595-0,38400,38400
124683-0,259655-0,38400,38400
124683-0,273928-128,38400,38400
124683-0,273928-129,38400,38400
124683-0,273928-130,38400,38400
124683-0,273933-128,38400,38400
124683-0,273933-129,38400,38400
124683-1,15290-128,38400,38400
124683-1,15290-129,38400,38400
124683-1,15295-130,38400,38400
124683-1,15336-129,38400,38400
124683-1,47440-0,38400,38400
124683-1,47440-1,38400,38400
124683-1,47440-2,38400,38400
124683-1,47444-0,38400,38400
124683-1,124673-0,38400,38400
124683-1,124683-0,38400,38400
124683-1,124683-2,38400,38400
124683-1,124687-0,38400,38400
124683-1,124687-1,38400,38400
124683-1,124687-2,38400,38400
124683-1,124711-0,38400,38400
124683-1,124711-1,38400,38400
124683-1,124711-2,38400,38400
124683-1,259595-0,38400,38400
124683-1,259595-1,38400,38400
124683-1,259654-0,38400,38400
124683-1,259655-0,38400,38400
124683-1,259655-1,38400,38400
124683-1,273928-128,38400,38400
124683-1,273928-129,38400,38400
124683-1,273928-130,38400,38400
124683-1,273933-128,38400,38400
124683-1,273933-129,38400,38400
124683-2,15290-129,38400,38400
124683-2,15297-128,38400,38400
124683-2,15297-129,38400,38400
124683-2,15336-128,38400,38400
124683-2,15336-129,38400,38400
124683-2,15336-130,38400,38400
124683-2,15582-128,38400,38400
124683-2,47440-0,38400,38400
124683-2,47440-1,38400,38400
124683-2,47440-2,38400,38400
124683-2,47444-0,38400,38400
124683-2,124672-0,38400,38400
124683-2,124672-1,38400,38400
124683-2,124674-0,38400,38400
124683-2,124674-1,38400,38400
124683-2,124674-2,38400,38400
124683-2,124683-0,38400,38400
124683-2,124683-1,38400,38400
124683-2,124687-2,38400,38400
124683-2,124711-2,38400,38400
124683-2,124815-0,38400,38400
124683-2,124815-1,38400,38400
124683-2,259595-0,38400,38400
124683-2,259595-2,38400,38400
124683-2,259654-0,38400,38400
124683-2,259655-0,38400,38400
124683-2,259655-1,38400,38400
124683-2,259655-2,38400,38400
124683-2,273928-130,38400,38400
124683-2,273933-129,38400,38400
124684-0,7198-128,38400,38400
124684-0,7199-128,38400,38400
124684-0,15484-128,38400,38400
124684-0,15484-129,38400,38400
124684-0,15485-130,38400,38400
124684-0,47439-0,38400,38400
124684-0,124684-1,38400,38400
124684-0,124684-2,38400,38400
124684-0,124688-0,38400,38400
124684-0,124688-1,38400,38400
124684-0,124688-2,38400,38400
124684-0,124915-0,38400,38400
124684-0,124915-1,38400,38400
124684-0,124915-2,38400,38400
124684-0,259658-1,38400,38400
124684-0,259712-1,38400,38400
124684-0,273934-128,38400,38400
124684-0,273934-130,38400,38400
124684-0,5882-144,38400,38950
124684-1,7196-128,38400,38400
124684-1,7196-130,38400,38400
124684-1,7197-128,38400,38400
124684-1,7197-130,38400,38400
124684-1,7198-128,38400,38400
124684-1,15485-128,38400,38400
124684-1,15485-129,38400,38400
124684-1,15485-130,38400,38400
124684-1,15486-128,38400,38400
124684-1,47439-0,38400,38400
124684-1,47439-1,38400,38400
124684-1,47439-2,38400,38400
124684-1,124684-0,38400,38400
