S_SECTOR_ID,N_SECTOR_ID
124677-0,124818-1
124677-0,15294-129
124677-0,15322-128
124677-0,253894-2
124677-0,124818-0
124677-0,5641-129
124677-0,7401-130
124677-0,274161-129
124677-0,253903-2
124677-0,253939-0
124677-0,124712-1
124677-0,15322-130
124677-0,15513-128
124677-0,124677-1
124677-0,253903-1
124677-0,15539-128
124677-0,274161-130
124677-0,15311-130
124677-0,7401-128
124677-0,253941-2
124677-0,15294-130
124677-0,15322-129
124677-0,15310-129
124677-0,5641-130
124677-0,253931-2
124677-0,15513-130
124677-1,15513-128
124677-1,253928-2
124677-1,15311-130
124677-1,15294-130
124677-1,253894-2
124677-1,124818-1
124677-1,124677-0
124677-1,15513-129
124677-1,5641-130
124677-1,15322-128
124677-1,124818-0
124677-1,253939-1
124677-1,15322-130
124677-1,253903-1
124677-1,7401-130
124677-1,253903-2
124677-1,5641-128
124677-1,124712-2
124677-1,15539-128
124677-1,7401-128
124677-1,15322-129
124677-1,15310-129
124677-1,15513-130
124677-1,15310-128
124677-1,253894-0
124677-1,15311-128
124677-1,253939-2
124677-1,15294-128
124677-1,274161-129
124677-1,7401-129
124677-1,253894-1
124677-1,124712-1
124678-0,15427-128
124678-0,259682-1
124678-0,47469-2
124678-0,15487-130
124678-0,124689-1
124678-0,15487-129
124678-0,124678-1
124678-0,47470-0
124678-0,259627-2
124678-0,259682-2
124678-0,124689-0
124678-0,253950-1
124678-0,253949-2
124678-0,15329-129
124678-0,259584-1
124678-0,47469-1
124678-0,124893-2
124678-0,15592-128
124678-0,124689-3
124678-0,253950-0
124678-0,124681-2
124678-0,15329-130
124678-0,124691-1
124678-0,124893-0
124678-0,273929-130
124678-0,15516-130
124678-0,259627-0
124678-0,124681-0
124678-0,15487-128
124678-0,15307-130
124678-0,15516-129
124678-0,259721-1
124678-0,15514-128
124678-0,15329-128
124678-0,253950-2
124678-0,124691-0
124678-0,253949-1
124678-0,259584-2
124678-0,259627-5
124678-0,273929-129
124678-0,124678-2
124678-0,15307-129
124678-0,259721-2
124678-0,15592-129
124678-0,15516-128
124678-0,259584-3
124678-0,15427-129
124678-0,124691-2
124678-0,15514-129
124678-0,259584-0
124678-0,15307-128
124678-0,273929-128
124678-0,259627-3
124678-0,47470-1
124678-0,15486-130
124678-0,259627-1
124678-0,47469-0
124678-0,124689-2
124678-0,259721-0
124678-0,124893-1
124678-0,273937-129
124678-0,47470-2
124678-0,259627-4
124678-0,273937-128
124678-0,124681-1
124678-1,259584-0
124678-1,15329-129
124678-1,15514-129
124678-1,15307-128
124678-1,124689-2
124678-1,47470-1
124678-1,273937-129
124678-1,15329-130
124678-1,124893-1
124678-1,273929-130
124678-1,15516-130
124678-1,124678-0
124678-1,15516-129
124678-1,259721-1
124678-1,47469-2
124678-1,15307-129
124678-1,124689-1
124678-1,15329-128
124678-1,15516-128
124678-1,259627-5
124678-1,259584-2
124678-1,273929-129
124678-1,124689-0
124678-1,124678-2
124678-1,15592-129
124678-1,253950-1
124678-1,259584-3
124678-1,124893-2
124678-1,273929-128
124678-1,15592-128
124678-1,259627-3
124678-1,47469-0
124678-1,259627-1
124678-1,259721-0
124678-1,15427-128
124678-1,259627-4
124678-1,124681-0
124678-1,15487-129
124678-1,47470-2
124678-1,15427-129
124678-1,124893-0
124678-1,259627-2
124678-1,47469-1
124678-1,259584-1
124678-2,259584-1
124678-2,273929-129
124678-2,47469-1
124678-2,15592-128
124678-2,259627-3
124678-2,15307-130
124678-2,47469-0
124678-2,259627-1
124678-2,259721-0
124678-2,15516-130
124678-2,47470-2
124678-2,124681-1
124678-2,124681-0
124678-2,259627-4
124678-2,124893-0
124678-2,259627-2
124678-2,15427-129
124678-2,124689-2
124678-2,15329-130
124678-2,47470-1
124678-2,259721-1
124678-2,273937-129
124678-2,124681-2
124678-2,15427-128
124678-2,273929-130
124678-2,124893-1
124678-2,253950-2
124678-2,124678-0
124678-2,15516-129
124678-2,15307-129
124678-2,15329-128
124678-2,259627-5
124678-2,15516-128
124678-2,259584-2
124678-2,47469-2
124678-2,15592-129
124678-2,259721-2
124678-2,259584-3
124678-2,253950-1
124678-2,15307-128
124678-2,15514-129
124678-2,259584-0
124678-2,15329-129
124678-2,124893-2
124678-2,124678-1
124678-2,273929-128
124681-0,253949-1
124681-0,253937-1
124681-0,47467-2
124681-0,259781-0
124681-0,15516-128
124681-0,5885-144
124681-0,253922-1
124681-0,259761-2
124681-0,124681-2
124681-0,5660-129
124681-0,253938-1
124681-0,253915-2
124681-0,253950-1
124681-0,259584-1
124681-0,124923-0
124681-0,47469-1
124681-0,259627-5
124681-0,259584-3
124681-0,259721-2
124681-0,259627-0
124681-0,124678-2
124681-0,253937-2
124681-0,15514-130
124681-0,47469-2
124681-0,15516-129
124681-0,47468-2
124681-0,259584-2
124681-0,253949-0
124681-0,273929-130
124681-0,253919-1
124681-0,15427-128
124681-0,259682-1
124681-0,273929-129
124681-0,15514-128
124681-0,253950-2
124681-0,124923-1
124681-0,259781-1
124681-0,259627-2
124681-0,259721-0
124681-0,259761-5
124681-0,259682-2
124681-0,15427-129
124681-0,259584-0
124681-0,124678-1
124681-0,15307-128
124681-0,253937-0
124681-0,259627-1
124681-0,253950-0
124681-0,253938-0
124681-0,47468-1
124681-0,5660-128
124681-0,253949-2
124681-0,259781-2
124681-0,253915-1
124681-0,15514-129
124681-0,47470-2
124681-0,15307-130
