起始时间,网元/基站名称,小区,小区名称,RRC连接建立完成次数 (无),RRC连接请求次数（包括重发） (无),RRC建立成功率qf (%),E-RAB建立成功总次数 (无),E-RAB建立尝试总次数 (无),E-RAB建立成功率2 (%),eNodeB触发的E-RAB异常释放总次数 (无),小区切换出E-RAB异常释放总次数 (无),E-RAB掉线率(新) (%),无线接通率ay (%),eNodeB发起的S1 RESET导致的UE Context释放次数 (无),UE Context异常释放次数 (无),UE Context建立成功总次数 (无),无线掉线率 (%),eNodeB内异频切换出成功次数 (无),eNodeB内异频切换出尝试次数 (无),eNodeB内同频切换出成功次数 (无),eNodeB内同频切换出尝试次数 (无),eNodeB间异频切换出成功次数 (无),eNodeB间异频切换出尝试次数 (无),eNodeB间同频切换出成功次数 (无),eNodeB间同频切换出尝试次数 (无),eNB内切换成功率 (%),eNB间切换成功率 (%),同频切换成功率zsp (%),异频切换成功率zsp (%),切换成功率 (%),小区PDCP层所接收到的上行数据的总吞吐量 (比特),小区PDCP层所发送的下行数据的总吞吐量 (比特),RRC重建请求次数 (无),RRC连接重建比率 (%),通过重建回源小区的eNodeB间同频切换出执行成功次数 (无),通过重建回源小区的eNodeB间异频切换出执行成功次数 (无),通过重建回源小区的eNodeB内同频切换出执行成功次数 (无),通过重建回源小区的eNodeB内异频切换出执行成功次数 (无),eNB内切换出成功次数 (次),eNB内切换出请求次数 (次)
07/18/2020 00:00:00,B马文武学校-HLHF,"eNodeB名称=B马文武学校-HLHF, 本地小区标识=2, 小区名称=B马文武学校-HLHF-3, eNodeB标识=253928, 小区双工模式=CELL_TDD",B马文武学校-HLHF-3,32498,32540,0.999,33395,33396,1,21,0,0.001,1,0,19,29813,0.001,0,0,499,500,290,291,7367,7388,0.998,0.985,0.986,0.997,0.986,2918004608,22676920704,295,0.009,90,0,0,0,499,500
07/18/2020 00:00:00,B马文武学校-HLHF,"eNodeB名称=B马文武学校-HLHF, 本地小区标识=1, 小区名称=B马文武学校-HLHF-2, eNodeB标识=253928, 小区双工模式=CELL_TDD",B马文武学校-HLHF-2,11269,11286,0.998,10732,10734,1,3,0,0,0.999,0,3,10445,0,0,0,118,119,58,59,1041,1044,0.992,0.996,0.997,0.983,0.996,774784000,8049738224,491,0.042,0,0,0,0,118,119
07/18/2020 00:00:00,B马文武学校-HLHF,"eNodeB名称=B马文武学校-HLHF, 本地小区标识=0, 小区名称=B马文武学校-HLHF-1, eNodeB标识=253928, 小区双工模式=CELL_TDD",B马文武学校-HLHF-1,11459,11483,0.998,12325,12325,1,25,0,0.002,0.999,0,25,10788,0.002,0,0,485,487,144,144,5435,5438,0.996,0.999,0.998,1,0.999,2368052800,12648173496,105,0.009,4,0,0,0,485,487
07/19/2020 00:00:00,B马文武学校-HLHF,"eNodeB名称=B马文武学校-HLHF, 本地小区标识=2, 小区名称=B马文武学校-HLHF-3, eNodeB标识=253928, 小区双工模式=CELL_TDD",B马文武学校-HLHF-3,30406,30450,0.999,32059,32060,1,26,0,0.001,1,0,20,28341,0.001,0,0,476,476,300,300,6696,6719,0.998,0.995,0.995,0.993,0.995,2596165744,25635942328,185,0.006,11,2,1,0,475,476
07/19/2020 00:00:00,B马文武学校-HLHF,"eNodeB名称=B马文武学校-HLHF, 本地小区标识=1, 小区名称=B马文武学校-HLHF-2, eNodeB标识=253928, 小区双工模式=CELL_TDD",B马文武学校-HLHF-2,10119,10128,0.999,9666,9667,1,9,0,0.001,1,0,9,9451,0.001,0,0,177,177,70,70,1031,1033,1,0.997,0.998,1,0.998,983290664,8049987552,50,0.005,1,0,0,0,177,177
07/19/2020 00:00:00,B马文武学校-HLHF,"eNodeB名称=B马文武学校-HLHF, 本地小区标识=0, 小区名称=B马文武学校-HLHF-1, eNodeB标识=253928, 小区双工模式=CELL_TDD",B马文武学校-HLHF-1,11042,11049,0.999,12378,12380,1,8,0,0.001,1,0,8,10525,0.001,0,0,476,476,294,294,5502,5503,1,0.999,0.999,1,0.999,1222586376,11419816000,79,0.007,4,0,0,0,476,476
07/17/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=2, 小区名称=B马五一宾馆-HLHF-3, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-3,66856,67000,0.998,63451,63454,1,140,0,0.002,1,0,140,59247,0.002,0,0,3365,3368,35,39,10546,10556,0.999,0.998,0.998,0.795,0.998,4448226200,45153944392,206,0.003,7,4,1,0,3364,3368
07/17/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=1, 小区名称=B马五一宾馆-HLHF-2, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-2,150071,150430,0.998,145514,145532,1,122,0,0.001,1,0,119,136976,0.001,0,0,8707,8716,317,365,18438,18467,0.998,0.994,0.997,0.855,0.995,12307121656,99686542976,624,0.004,28,5,8,0,8699,8716
07/17/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=0, 小区名称=B马五一宾馆-HLHF-1, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-1,37437,37491,0.999,34341,34346,1,46,0,0.001,1,0,47,32672,0.001,0,0,7341,7344,54,61,4714,4731,0.999,0.992,0.997,0.852,0.996,2225549064,17628395288,315,0.008,13,2,1,0,7340,7344
07/18/2020 00:00:00,B马五一宾馆-HLHF,"eNodeB名称=B马五一宾馆-HLHF, 本地小区标识=2, 小区名称=B马五一宾馆-HLHF-3, eNodeB标识=253929, 小区双工模式=CELL_TDD",B马五一宾馆-HLHF-3,63903,63986,0.999,60902,60906,1,175,0,0.003,1,0,173,56888,0.003,0,0,3988,3989,52,60,6497,6504,0.999,0.997,0.999,0.867,0.998,4338378880,37494901544,280,0.004,3,0,3,0,3985,3989
